Year,Anomaly
1850,-0.15666666666666665
1851,-0.075
1852,-0.08666666666666667
1853,-0.11166666666666668
1854,-0.09666666666666668
1855,-0.105
1856,-0.24250000000000002
1857,-0.26166666666666666
1858,-0.19583333333333333
1859,-0.07416666666666667
1860,-0.21666666666666667
1861,-0.24083333333333334
1862,-0.29333333333333333
1863,-0.15083333333333335
1864,-0.18999999999999997
1865,-0.12916666666666668
1866,-0.10666666666666667
1867,-0.18166666666666667
1868,-0.14583333333333334
1869,-0.11833333333333333
1870,-0.17
1871,-0.1725
1872,-0.17916666666666667
1873,-0.19583333333333333
1874,-0.21416666666666664
1875,-0.19999999999999998
1876,-0.21916666666666665
1877,0.043333333333333335
1878,0.055
1879,-0.11750000000000001
1880,-0.1725
1881,-0.11833333333333333
1882,-0.13083333333333333
1883,-0.22333333333333336
1884,-0.30916666666666665
1885,-0.3225
1886,-0.25333333333333335
1887,-0.30583333333333335
1888,-0.1675
1889,-0.07833333333333332
1890,-0.2775
1891,-0.18416666666666667
1892,-0.24916666666666668
1893,-0.31916666666666665
1894,-0.23916666666666667
1895,-0.19583333333333333
1896,-0.0575
1897,-0.07166666666666667
1898,-0.2325
1899,-0.17333333333333334
1900,-0.08333333333333333
1901,-0.14416666666666667
1902,-0.23750000000000002
1903,-0.31916666666666665
1904,-0.43416666666666665
1905,-0.24666666666666667
1906,-0.21
1907,-0.33666666666666667
1908,-0.4008333333333333
1909,-0.43416666666666665
1910,-0.39749999999999996
1911,-0.4141666666666666
1912,-0.3333333333333333
1913,-0.32666666666666666
1914,-0.13583333333333333
1915,-0.09166666666666667
1916,-0.3116666666666667
1917,-0.43416666666666665
1918,-0.28583333333333333
1919,-0.24083333333333334
1920,-0.25166666666666665
1921,-0.17416666666666666
1922,-0.24833333333333332
1923,-0.2508333333333333
1924,-0.2225
1925,-0.19833333333333333
1926,-0.09583333333333333
1927,-0.17916666666666667
1928,-0.16666666666666666
1929,-0.3066666666666667
1930,-0.11083333333333334
1931,-0.06
1932,-0.12333333333333334
1933,-0.2525
1934,-0.10416666666666667
1935,-0.15333333333333335
1936,-0.125
1937,0.011666666666666667
1938,0.016666666666666666
1939,0.010833333333333334
1940,0.15666666666666665
1941,0.22166666666666668
1942,0.10583333333333333
1943,0.09916666666666667
1944,0.235
1945,0.13999999999999999
1946,-0.03916666666666666
1947,-0.015833333333333335
1948,-0.065
1949,-0.059166666666666666
1950,-0.12583333333333332
1951,-0.007499999999999997
1952,0.051666666666666666
1953,0.1275
1954,-0.07
1955,-0.12916666666666668
1956,-0.17
1957,0.059166666666666666
1958,0.08416666666666667
1959,0.06916666666666667
1960,0.025833333333333337
1961,0.06416666666666666
1962,0.0525
1963,0.08166666666666667
1964,-0.1525
1965,-0.05416666666666667
1966,-0.022500000000000003
1967,0.022500000000000003
1968,-0.06
1969,0.09916666666666667
1970,0.05416666666666667
1971,-0.043333333333333335
1972,0.024999999999999998
1973,0.19666666666666666
1974,-0.049999999999999996
1975,0.014166666666666666
1976,-0.03333333333333333
1977,0.20750000000000002
1978,0.10666666666666667
1979,0.2225
1980,0.29
1981,0.35250000000000004
1982,0.18916666666666668
1983,0.345
1984,0.19583333333333333
1985,0.16666666666666666
1986,0.215
1987,0.33666666666666667
1988,0.4166666666666667
1989,0.295
1990,0.44916666666666666
1991,0.42
1992,0.2333333333333333
1993,0.26916666666666667
1994,0.32166666666666666
1995,0.48
1996,0.3558333333333333
1997,0.5008333333333334
1998,0.6316666666666667
1999,0.4183333333333333
2000,0.4283333333333333
2001,0.5541666666666667
2002,0.6216666666666667
2003,0.6325
2004,0.5483333333333333
2005,0.7050000000000001
2006,0.6633333333333333
2007,0.6583333333333333
2008,0.5491666666666667
2009,0.6625
2010,0.7341666666666667
2011,0.6283333333333333
2012,0.6608333333333334
2013,0.685
2014,0.7675
2015,0.9175
2016,1.0325
2017,0.9508333333333333
2018,0.86
2019,0.9775
2020,1.0141666666666667
2021,0.8633333333333333
2022,0.93
